Asset Id,Feature,Sub-Feature,Org,Direction,Route,Ramp #,Ramp ID,Lane Location,From MP/Offset,To MP/Offset,Length/Area(ft),Lat,Long
1471104,Box Culvert Location (CBC),Box Culvert (CBC),St. Johns,,SR-61,,,Right,378.22,378.22,,34.497267,-109.508442
1471105,Pipe Opening Location,Concrete,St. Johns,,SR-61,,,Right,378.82,378.82,,34.500124,-109.49879
1471114,Pipe Opening Location,CMP W/Plastic Insert,St. Johns,,SR-61,,,Right,381.13,381.13,,34.510787,-109.461957
1471115,Pipe Opening Location,CMP W/Plastic Insert,St. Johns,,SR-61,,,Right,381.20,381.20,,34.510791,-109.460862
932772,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,417.00,417.24,1246.99,34.907274,-109.232891
932773,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,417.78,418.04,1367.06,34.914321,-109.222082
932774,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,418.19,418.23,198.82,34.918124,-109.216526
932775,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,418.35,418.49,703.24,34.919643,-109.214302
932776,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,418.66,419.37,3738.47,34.922259,-109.210048
932777,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,419.40,419.43,153.89,34.930016,-109.201278
932778,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,419.73,419.82,480.50,34.932746,-109.196706
932779,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,422.15,422.26,575.42,34.955424,-109.16455
932780,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,423.08,423.37,1504.00,34.965195,-109.153762
932781,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,423.66,423.83,877.93,34.970602,-109.145937
932782,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,424.27,424.34,405.32,34.975878,-109.137252
932783,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,424.40,424.54,729.51,34.977261,-109.13555
932823,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,425.18,425.35,899.52,34.984921,-109.125543
932824,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,425.42,425.62,1041.73,34.98698,-109.122205
932825,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,426.76,427.68,4882.62,34.995077,-109.100878
932826,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,427.79,428.35,2902.68,35.004203,-109.086424
932827,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,428.65,428.80,767.27,35.010684,-109.073518
932828,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,429.02,429.20,956.65,35.013049,-109.067791
932829,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,429.77,429.80,156.35,35.01793,-109.055989
932830,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,429.97,430.09,613.81,35.019294,-109.052884
932831,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,430.23,430.13,492.47,35.020975,-109.048898
932832,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,429.96,429.68,1482.17,35.019283,-109.053128
932837,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,425.09,424.87,1152.66,34.984203,-109.1269
932838,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,424.74,424.30,2358.86,34.980818,-109.131398
932841,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,423.97,423.90,393.18,34.973333,-109.141518
932842,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,423.84,423.64,1060.97,34.972223,-109.143421
932843,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,423.44,423.31,659.65,34.968573,-109.149023
932844,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,423.29,423.01,1476.07,34.967254,-109.151049
932846,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,422.47,422.41,339.54,34.959065,-109.161085
932847,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,421.99,421.56,2261.57,34.953965,-109.16673
932848,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,421.49,419.72,9310.84,34.949183,-109.173506
932849,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,419.66,419.37,1533.89,34.932293,-109.197904
932850,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,417.87,417.51,1921.60,34.915195,-109.220962
932944,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,372.81,373.04,1305.05,34.479555,-109.59703
932945,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,373.17,373.22,281.58,34.482543,-109.591529
932946,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,373.33,373.60,1401.06,34.483848,-109.58913
932947,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,373.65,373.85,1021.90,34.486276,-109.584392
932969,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,380.17,380.07,547.93,34.507498,-109.478283
932970,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,379.95,379.88,374.50,34.506169,-109.481329
932971,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,379.77,379.61,855.33,34.504968,-109.484069
932972,Roadway Cut Ditches,Paved Cut Ditch,St. Johns,,SR-61,,,Right,379.22,378.83,1987.00,34.500905,-109.492355
932973,Roadway Cut Ditches,Paved Cut Ditch,St. Johns,,SR-61,,,Right,378.68,378.65,201.65,34.500296,-109.501197
932990,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,370.90,370.78,624.84,34.461888,-109.620662
932991,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,370.66,370.48,988.05,34.459241,-109.623175
932992,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,369.23,369.13,509.06,34.442082,-109.635243
932993,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,369.08,368.97,819.06,34.439981,-109.636059
932994,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,367.46,367.41,273.00,34.417138,-109.645274
932995,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,367.34,367.30,236.66,34.415567,-109.645957
932996,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,367.14,367.12,125.50,34.412939,-109.647394
932997,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,367.07,366.95,572.77,34.41194,-109.648039
932998,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,366.85,366.75,548.08,34.409332,-109.649991
932999,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,366.59,366.51,411.28,34.406242,-109.652685
933000,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,366.39,366.35,195.01,34.4039,-109.65474
933001,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,366.29,366.24,224.26,34.402701,-109.655778
933002,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,366.11,366.06,233.31,34.400686,-109.657708
933003,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,364.60,364.57,165.91,34.385594,-109.676835
933004,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,364.45,364.42,151.99,34.384103,-109.678761
933005,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,364.10,364.05,258.21,34.380623,-109.683239
933006,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,363.68,363.43,1331.31,34.37659,-109.688419
933007,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,361.51,361.46,309.34,34.354977,-109.716187
933008,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,361.28,361.23,244.12,34.352614,-109.719229
933009,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,359.35,359.30,262.51,34.333576,-109.743714
933010,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,359.21,358.70,2735.17,34.332175,-109.745496
933011,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,358.11,358.04,365.45,34.321905,-109.760404
933012,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,357.84,357.80,236.43,34.319435,-109.76403
933013,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,357.73,357.61,622.35,34.318416,-109.765508
933014,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,357.49,357.45,197.84,34.315714,-109.768209
933015,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,357.39,357.08,1640.55,34.314519,-109.769019
933016,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,357.08,356.97,583.34,34.311028,-109.77247
933017,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,356.82,356.73,471.91,34.308812,-109.776161
933018,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,356.45,356.34,591.24,34.305986,-109.781476
933019,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,356.34,356.14,1038.37,34.305061,-109.78318
933020,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,356.01,355.98,166.71,34.302503,-109.787958
933021,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,355.19,355.16,158.32,34.296017,-109.800098
933022,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,354.96,354.81,774.21,34.294375,-109.803166
933023,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,354.72,354.59,702.80,34.292512,-109.806666
933024,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,354.58,354.52,317.22,34.291633,-109.808841
933025,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,354.43,354.36,333.13,34.290911,-109.81136
933026,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,354.14,353.50,3353.29,34.290027,-109.816276
933028,Roadway Cut Ditches,Unpaved Cut Ditch,Springerville,,SR-61,,,Right,353.23,353.29,313.18,34.287188,-109.831798
933029,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,353.37,353.50,693.91,34.287632,-109.829352
933030,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,354.81,354.86,212.16,34.293145,-109.805194
933031,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,355.16,355.19,158.88,34.295722,-109.80039
933032,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,355.37,355.40,182.11,34.29732,-109.797367
933033,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,355.97,356.07,492.10,34.302093,-109.788458
933034,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,357.75,357.84,471.54,34.318518,-109.765184
933036,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,361.07,361.11,190.80,34.350523,-109.721752
933037,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,361.59,361.65,342.60,34.355633,-109.715187
933038,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,361.72,361.86,761.51,34.35696,-109.713478
933039,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,364.06,364.10,220.16,34.380107,-109.683712
933040,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,364.42,364.46,208.73,34.383745,-109.679042
933041,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,364.56,364.60,225.15,34.385083,-109.677325
933042,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,366.22,366.28,308.93,34.401885,-109.656365
933044,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,370.01,370.10,478.19,34.451834,-109.630061
933045,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,370.77,370.95,971.35,34.460384,-109.621975
933051,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,374.09,374.17,387.94,34.485602,-109.57706
933052,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,374.34,374.50,833.48,34.483973,-109.573215
933053,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,374.65,374.70,276.84,34.483154,-109.567917
933054,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,374.76,374.79,141.03,34.483537,-109.566039
933055,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,375.15,375.21,321.43,34.484872,-109.559068
933056,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,378.27,378.40,694.18,34.497708,-109.507624
933057,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,378.82,378.96,694.92,34.500236,-109.49874
933058,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,379.04,379.20,849.58,34.49994,-109.495235
933059,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,379.30,379.33,169.78,34.501485,-109.491235
933060,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,379.61,379.70,471.31,34.503787,-109.48658
933061,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,379.91,379.95,241.88,34.50581,-109.481959
933062,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,380.07,380.13,272.02,34.506778,-109.479723
933063,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,380.29,380.40,557.48,34.508233,-109.476332
933067,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,381.40,381.13,1424.51,34.510997,-109.457243
933068,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,381.03,380.99,217.88,34.510873,-109.46385
933069,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,380.87,380.72,814.85,34.510446,-109.466552
933070,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,380.53,380.43,551.59,34.50922,-109.472326
933071,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,380.37,380.30,352.42,34.508639,-109.47511
933077,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,377.99,377.94,231.47,34.495543,-109.511879
933079,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,376.18,376.08,536.23,34.486214,-109.541193
933080,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,375.39,375.28,538.06,34.485327,-109.555006
933081,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,375.21,375.18,122.69,34.485077,-109.558147
933082,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,374.79,374.65,782.36,34.483739,-109.565513
933083,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,374.52,374.29,1235.09,34.483189,-109.570131
933084,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,374.17,374.09,406.32,34.485159,-109.575798
933085,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,373.93,373.77,875.53,34.486601,-109.579564
933086,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,373.70,373.67,208.07,34.486613,-109.583581
933087,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,373.50,373.35,830.80,34.485282,-109.586704
933088,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,373.23,373.15,399.82,34.483091,-109.590715
933089,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,373.04,372.92,700.81,34.481581,-109.593488
933090,Roadway Cut Ditches,Unpaved Cut Ditch,St. Johns,,SR-61,,,Right,372.86,372.82,192.55,34.480004,-109.596375
1028933,Bank Protection,Rip Rap,Williams,,SR-64,,,Right,187.32,187.32,70.09,35.284598,-112.14415
1028934,Bank Protection,Rip Rap,Williams,,SR-64,,,Right,187.34,187.34,66.5,35.28487,-112.14407
1028951,Pipe Opening Location,CMP,Williams,,SR-64,,,Right,191.29,191.29,,35.338037,-112.16236
